Username,Last Name,First Name,Question ID,Question,Answer,Possible Points,Auto Score,Manual Score
aldridgeg,Aldridge,Georgiann,Question ID 1,"<!--RsQ_003-->A study was conducted to test if a new drug was effective in reducing the number of headaches. Two groups were formed from a sample with a history of chronice headaches. One group was given the new drug and the other was given a placebo. Of the 30 people that were given the new drug, 20 of them reported relief from their headache. Of the 50 people given the placebo, 25 of them reported relief from their headache. <br><br>What are the two independent samples in this study?",The placebo group and new drug group,1,1,NA
aldridgeg,Aldridge,Georgiann,Question ID 2,"<!--RsQ_004-->A study was conducted to see if kids that attended public high schools were more likely to attend public colleges when compared to kids who attended private high schools. Of the 100 kids who attended public high schools, 60 were planning to attend a public college. Of the 100 kids who attended private high schools, 50 of them planned to attend a public college. <br><br>Calculate a 95% confidence interval for the difference in the proportion attending a public college between kids attending a public high school versus a private high school.",-0.4072 to 0.5428,1,0,NA
aldridgeg,Aldridge,Georgiann,Question ID 3,"<!--RsQ_008-->Obesity is seen to be a growing problem here in the United States. To test whether there has been an increase in obesity over the past ten years, 50 men were sampled in 2000 and 75 men were sampled in 2010 and recorded whether or not they were obese. There were 10 men that were recorded as obese in 2000 and 30 men were recorded as obese in 2010. <br><br>The 90% confidence interval for the difference in the two proportions is (-0.3316, -0.0684). Select the correct interpretation of this confidence interval.",We are 90% confident that the proportion of men who were obese in the year 2000 is between 0.0684 and 0.3316 less than the proportion of men who were obese in the year 2010.,1,1,NA
aldridgeg,Aldridge,Georgiann,Question ID 4,"<!--RsQ_010-->A study was conducted to test if a new drug was effective in reducing the number of headaches. Two groups were formed from a sample with a history of chronice headaches. One group was given the new drug and the other was given a placebo. Of the 30 people that were given the new drug, 20 of them reported relief from their headache. Of the 50 people given the placebo, 25 of them reported relief from their headache. <br><br>Denote group 1 as the new drug group and group 2 as the placebo group. The appropriate null hypothesis to test for the effectiveness of this new drug is H0: [a] [b] [c]","p1,is equal to,p2",3,3,NA
aldridgeg,Aldridge,Georgiann,Question ID 5,"<!--RsQ_011-->  A study was conducted to test if a new drug was effective in reducing the number of headaches. Two groups were formed from a sample with a history of chronice headaches. One group was given the new drug and the other was given a placebo. Of the 30 people that were given the new drug, 20 of them reported relief from their headache. Of the 50 people given the placebo, 25 of them reported relief from their headache. <br /><br />Denote group 1 as the new drug group and group 2 as the placebo group. The appropriate alternative hypothesis to test for the effectiveness of this new drug is HA: [a] [b] [c]","p1,is not equal to,p2",3,2,NA
aldridgeg,Aldridge,Georgiann,Question ID 6,"<!--RsQ_012-->A study was conducted to test if a new drug was effective in reducing the number of headaches. Two groups were formed from a sample with a history of chronice headaches. One group was given the new drug and the other was given a placebo. Of the 30 people that were given the new drug, 20 of them reported relief from their headache. Of the 50 people given the placebo, 25 of them reported relief from their headache. <br><br>Denote group 1 as the new drug group and group 2 as the placebo group. The z-test statistic for the hypothesis test for testing the effectiveness of the new drug is",z = 1.46,1,1,NA
aldridgeg,Aldridge,Georgiann,Question ID 7,"<!--RsQ_013-->A study was conducted to test if a new drug was effective in reducing the number of headaches. Two groups were formed from a sample with a history of chronice headaches. One group was given the new drug and the other was given a placebo. Of the 30 people that were given the new drug, 20 of them reported relief from their headache. Of the 50 people given the placebo, 25 of them reported relief from their headache. <br><br>Denote group 1 as the new drug group and group 2 as the placebo group. Based on the test statistic and p-value, the decision is made to fail to reject the null hypothesis. Choose the appropriate conclusion below. ",The proportion of people who received relief from the headaches was the same when using the new drug versus when using the placebo.,1,1,NA
aldridgeg,Aldridge,Georgiann,Question ID 8,<!--RsQ_015-->A multimedia program was designed to improve dietary behavior among low-income women. The program was evaluated by comparing women who were randomly assigned to either an intervention and or a control group. The intervention was a 30-minute session in a computer kiosk in the Food Stamp office. One of the outcomes of the experiment was the score on a knowledge test taken about two months after the program.<br><br>What are the two independent samples? ,Intervention and control ,1,1,NA
aldridgeg,Aldridge,Georgiann,Question ID 9,<!--RsQ_018-->The USDA uses sample surveys to produce important economic estimates. One study estimated wheat prices in July and September using independent random samples of wheat producers in the two months. <br><br>Use the JMP output below to identify the 95% confidence interval for the difference between the mean wheat prices in September and July.<br><br><span style=font-family:'Arial Unicode MS'; color:#000000;><IMG src=ppg/respondus/exam_Ch_20_HW/wheat_test.png alt=C:\Users\Emily\Pictures\Chapter 24\wheat_test.png align=bottom border=0></span> ,"<span style=font-size:10pt;>(0.63, 0.69) </span>",1,1,NA
aldridgeg,Aldridge,Georgiann,Question ID 10,"<!--RsQ_023-->A multimedia program was designed to improve dietary behavior among low-income women. The program was evaluated by comparing women who were randomly assigned to either an intervention and or a control group. The intervention was a 30-minute session in a computer kiosk in the Food Stamp office. One of the outcomes of the experiment was the score on a knowledge test taken about two months after the program.<br><br>A 98% confidence interval for the difference of mean scores for women between the intervention group and the control group was calculated to be (0.46, 1.10). Which of the following is the correct interpretation of this interval? ",<span style=font-size:10pt;>I am 98% confident that all women who were given an intervention will score between on average 0.46 and 1.10 points higher on a knowledge test those who take the test without. </span>,1,0,NA
